
Fatores	O
Demográficos	O
e	O
Econômicos	O
Subjacentes	O


A	O
revolta	O
histórica	O
produz	O
normalmente	O
uma	O
nova	O
forma	O
de	O
pensamento	O
quanto	O
à	O
forma	O
de	O
organização	O
da	O
sociedade	O
Assim	O
foi	O
com	O
a	O
Reforma Protestante	ABSTRACCAO
No	O
seguimento	O
do	O
colapso	O
de	O
instituições	O
monásticas	O
e	O
do	O
escolasticismo	O
nos	O
finais	O
da	O
Idade Média	OUTRO
na	O
Europa	LOCAL
acentuado	O
pela	O
Cativeiro Babilónica da igreja	ACONTECIMENTO
no	O
papado	O
de	O
Avignon	ACONTECIMENTO
o	O
Grande Cisma	ACONTECIMENTO
e	O
o	O
fracasso	O
da	O
conciliação	O
assistimos	O
no século XVI	TEMPO
ao	O
fermentar	O
de	O
um	O
enorme	O
debate	O
sobre	O
a	O
reforma	O
da	O
religião	O
e	O
dos	O
posteriores	O
valores	O
religiosos	O
fundamentais	O
Este	O
debate	O
passou	O
completamente	O
ao	O
lado	O
de	O
Portugal	PESSOA
demasiado	O
distante	O
do	O
foco	O
onde	O
surgiram	O
estes	O
pensamentos	O
A	O
imprensa	O
inventada	O
na	O
Alemanha	LOCAL
por	O
John Gutenberg	PESSOA
foi	O
importante	O
na	O
divulgação	O
destas	O
ideias	O
As	O
95 Teses de Martinho Lutero	OBRA
95 Teses	OBRA
de	O
Martinho Lutero	PESSOA
foram	O
imediatamente	O
impressas	O
e	O
divulgadas	O
por	O
todas	O
as	O
regiões	O
de	O
língua	O
alemã	O
o	O
que	O
contribuiu	O
para	O
a	O
crescente	O
popularidade	O
de	O
Martinho Lutero	PESSOA
Não	O
menos	O
relevante	O
foi	O
a	O
influência	O
da	O
pressão	O
social	O
exercida	O
pela	O
Contra-Reforma	ABSTRACCAO
na	O
qual	O
os	O
Jesuítas	PESSOA
tiveram	O
um	O
papel	O
de	O
liderança	O
A	O
Inquisição	ORGANIZACAO
e	O
a	O
censura	O
exercida	O
pela	O
Igreja Católica	ORGANIZACAO
foram	O
igualmente	O
determinantes	O
para	O
evitar	O
que	O
as	O
ideias	O
reformadoras	O
encontrassem	O
divulgação	O
em	O
Portugal	LOCAL
Espanha	LOCAL
ou	O
Itália	LOCAL
países	O
católicos	O
Historiadores	O
assumem	O
geralmente	O
que	O
a	O
incapacidade	O
de	O
reformar	O
grande	O
número	O
de	O
interesses	O
legítimos	O
falta	O
de	O
coordenação	O
na	O
coligação	O
dos	O
reformadores	O
poderia	O
levar	O
a	O
uma	O
grande	O
revolta	O
ou	O
revolução	O
uma	O
vez	O
que	O
o	O
sistema	O
deverá	O
ser	O
gradualmente	O
ajustado	O
ou	O
então	O
O	O
fracasso	O
da	O
conciliação	O
levou	O
à	O
Reforma Protestante	ACONTECIMENTO
do	O
ocidente	O
europeu	O
Estes	O
movimentos	O
reformistas	O
frustrados	O
variam	O
desde	O
o	O
nominalismo	O
a	O
moderna	O
devoção	O
ao	O
humanismo	O
e	O
ocorrem	O
em	O
conjunção	O
com	O
o	O
crescente	O
desagrado	O
perante	O
a	O
riqueza	O
e	O
o	O
poder	O
da	O
elite	O
clerical	O
sensibilizando	O
a	O
população	O
para	O
a	O
corrupção	O
moral	O
e	O
financeira	O
da	O
Igreja	ORGANIZACAO


A	O
Reforma	O
Religiosa	O
e	O
Política	O
na	O
Inglaterra	LOCAL


Henrique VIII	PESSOA
O	O
curso	O
da	O
Reforma	ACONTECIMENTO
foi	O
diferente	O
na	O
Inglaterra	LOCAL
Tinha	O
havido	O
desde	O
há	O
muito	O
uma	O
forte	O
corrente	O
tendo	O
a	O
